INFO: setting up PCIe 0
INFO: loading mbench.bin...
INFO: done
652	5627	546611	208199	1467211	337691	2467714	477689	814250	50668
504	2356	229053	87172	635168	147396	1327355	266970	548246	50520
478	2009	195368	74333	545339	126941	1210213	242927	528385	50494
378	1061	103302	39257	296111	70305	887068	172491	482986	50394
294	613	59760	22681	174091	42585	728015	133179	469942	50310
170	244	23838	9028	71490	18328	586716	91810	466638	50186
107	133	13009	4921	40084	10363	539457	75151	468748	50123
50	59	5772	2183	18785	4663	504890	61585	471764	50066
33	33	3233	1221	10993	2739	493731	57315	473232	50049
11	11	1077	407	3757	913	481359	52453	474405	50027
9	9	881	333	3112	747	480374	52011	474621	50025
6	6	588	222	2075	498	478371	51348	474520	50022
1	1	97	37	344	83	475645	50243	474955	50017
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
673	5943	579257	219891	1552114	356249	2586837	499145	841851	50689
544	2977	292285	110149	799927	183833	1544665	308927	589373	50560
450	1719	168934	63603	472360	109683	1113972	221805	513090	50466
314	748	73618	27676	212116	50800	774485	144154	472676	50330
266	514	50636	19018	147745	36214	691155	122944	467415	50282
148	197	19452	7289	58765	15077	568993	85523	467917	50164
116	141	13932	5217	42912	11053	544613	77083	468516	50132
64	75	7412	2775	23740	5939	513217	64793	471110	50080
32	32	3167	1184	10570	2656	492716	57094	472944	50048
19	19	1880	703	6422	1577	485156	54221	473233	50035
8	9	889	333	3020	721	479616	51847	474236	50024
2	2	197	74	694	166	476231	50464	474901	50018
1	1	98	37	346	83	475594	50243	474902	50017
1	1	98	37	346	83	475594	50243	474902	50017
0	0	0	0	0	0	475009	50022	474998	50016
1	1	98	37	346	83	475645	50243	474953	50017
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475009	50022	474998	50016
590	3911	383863	144707	1039967	238267	1870198	369709	661798	50606
581	3652	358682	135124	974635	223270	1781852	353470	640762	50597
411	1407	138324	52059	389582	90885	1004388	197625	497399	50427
358	929	91527	34373	262204	62261	844895	161687	480357	50374
249	477	46994	17649	137046	33663	675659	118047	467429	50265
171	256	25257	9472	75444	19038	591799	92658	467473	50187
74	86	8500	3182	27006	6826	518397	67060	470145	50090
52	60	5931	2220	19266	4772	506136	61970	471923	50068
36	37	3660	1369	11963	3045	494456	58035	472124	50052
13	13	1286	481	4522	1079	482361	52895	474048	50029
4	4	395	148	1390	332	477224	50906	474633	50020
4	4	395	148	1390	332	477444	50906	474853	50020
5	5	494	185	1738	415	477801	51127	474577	50021
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475009	50022	474998	50016
623	4445	436254	164465	1177526	269563	2062055	405559	706702	50639
513	2543	249724	94091	687803	158289	1394601	279105	560332	50529
472	2065	202839	76405	562231	129977	1228502	245135	531466	50488
402	1147	112804	42439	321509	75831	921926	181329	485595	50418
229	395	38937	14615	114509	28469	647032	110093	467098	50245
143	200	19755	7400	59483	15118	568013	84874	467650	50159
93	107	10591	3959	33183	8517	528485	71373	468688	50109
64	74	7314	2738	23313	5882	512383	64736	470699	50080
33	34	3363	1258	11201	2796	493551	57372	472833	50049
12	14	1383	518	4642	1110	482541	52788	474397	50028
5	6	591	222	1974	472	478311	51184	474816	50021
2	2	197	74	694	166	476213	50464	474888	50018
4	4	395	148	1390	332	477233	50906	474632	50020
1	1	98	37	346	83	475651	50243	474959	50017
1	1	98	37	346	83	475645	50243	474953	50017
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
635	4947	485935	183039	1306419	298489	2240749	436141	752334	50651
549	3139	308168	116143	841901	193197	1598387	318981	599712	50565
467	1797	176595	66489	493158	114571	1141450	229039	514920	50483
338	848	83442	31376	239724	57124	810668	153790	474348	50354
210	363	35783	13431	105181	26151	632906	105153	467720	50226
128	177	17473	6549	52908	13417	556942	81103	467434	50144
100	130	12838	4810	39612	10010	538181	73832	469940	50116
45	49	4845	1813	15857	3963	500953	60195	472121	50061
36	37	3661	1369	12153	3045	495231	58035	472712	50052
18	18	1781	666	6027	1494	484877	54000	473648	50034
15	16	1582	592	5268	1302	483400	53394	473770	50031
2	2	197	74	694	166	476185	50464	474860	50018
2	2	197	74	694	166	476222	50464	474897	50018
1	1	98	37	346	83	475682	50243	474990	50017
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
656	5370	526918	198690	1414543	323146	2388696	463696	786840	50672
585	3736	367076	138232	995353	228162	1809047	358914	646088	50601
426	1498	147313	55426	414294	96462	1036224	205272	500193	50442
369	1005	98859	37185	282138	66879	870778	167823	483142	50385
279	568	55943	21016	162445	39630	711078	128154	468933	50295
172	272	26828	10064	79715	19976	596322	93734	467463	50188
120	152	15015	5624	46194	11784	548510	78366	467990	50136
56	65	6424	2405	20734	5161	508098	62911	471299	50072
33	37	3657	1369	12058	2967	494330	57543	472745	50049
7	7	692	259	2434	581	478986	51569	474486	50023
8	8	791	296	2782	664	479345	51790	474217	50024
3	3	296	111	1042	249	476908	50685	474945	50019
3	3	296	111	1042	249	476755	50685	474792	50019
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
669	5784	567427	214008	1519153	347082	2534319	489426	824073	50685
517	2615	256848	96755	705898	162497	1420899	283865	567356	50533
398	1232	121147	45584	342881	80572	945984	185518	489419	50414
331	761	75013	28157	216458	51983	784308	147683	472954	50347
268	510	50301	18870	147055	36038	691710	123044	467794	50284
124	174	17174	6438	52300	13142	556294	80276	468517	50140
78	95	9386	3515	29590	7443	521879	68229	469939	50094
39	42	4153	1554	13749	3408	497361	58812	472399	50055
29	29	2870	1073	9620	2407	491316	56431	473347	50045
21	21	2078	777	6930	1743	486719	54663	473722	50037
7	7	692	259	2434	581	479082	51569	474582	50023
6	6	593	222	2086	498	478596	51348	474729	50022
3	3	296	111	1042	249	476904	50685	474946	50019
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475013	50022	475002	50016
671	6070	595649	224590	1591890	363436	2637460	506056	853811	50687
556	3255	319589	120435	871694	199991	1640400	326741	609807	50572
465	1910	187737	70670	522161	120960	1177841	235152	522899	50481
355	947	93160	35039	266153	63209	847709	162221	480158	50371
257	469	46217	17353	135306	33415	675914	118903	467189	50273
191	293	28904	10841	85862	21667	606837	98047	466408	50207
94	115	11362	4255	35495	8999	531190	71993	468785	50110
52	56	5538	2072	17933	4544	504886	61742	472005	50068
29	31	3065	1147	10321	2521	491741	56545	473049	50045
19	20	1977	740	6705	1634	486038	54278	473811	50035
7	7	692	259	2434	581	479026	51569	474521	50023
4	4	395	148	1343	332	477390	50906	474836	50020
3	3	296	111	1042	249	476688	50685	474725	50019
3	3	296	111	995	249	476771	50685	474855	50019
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
607	4087	401765	151219	1086620	248741	1935494	382529	675030	50623
596	3802	373202	140674	1012986	232210	1837476	364480	654301	50612
444	1596	156883	59052	440482	102516	1072317	213810	504928	50460
312	662	65187	24494	188614	45846	747334	138924	469528	50328
240	440	43358	16280	126995	31320	663991	114462	468417	50256
144	208	20526	7696	61888	15600	570571	85494	467507	50160
88	112	11062	4144	34537	8672	530034	70838	470297	50104
38	41	4055	1517	13356	3325	496879	58591	472596	50054
28	29	2868	1073	9508	2381	490561	56267	472969	50044
15	15	1484	555	5171	1245	483317	53337	473770	50031
8	8	791	296	2782	664	479565	51790	474437	50024
4	4	395	148	1390	332	477319	50906	474718	50020
4	4	395	148	1390	332	477380	50906	474784	50020
2	2	197	74	694	166	476226	50464	474901	50018
0	0	0	0	0	0	475013	50022	475002	50016
1	1	98	37	346	83	475598	50243	474906	50017
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
618	4522	443814	167314	1196876	273822	2086967	409128	713540	50634
530	2662	261404	98494	718546	165514	1439352	288676	569469	50546
419	1295	127566	47915	361139	84709	972747	192553	491425	50435
332	806	79356	29822	228067	54574	798057	150412	475154	50348
218	365	35987	13505	105948	26473	633837	106579	465601	50234
129	165	16297	6105	49689	12759	554707	80583	468122	50145
109	147	14514	5439	44357	11213	544884	76277	469349	50125
46	49	4846	1813	16013	3989	501682	60359	472438	50062
20	20	1979	740	6864	1660	486344	54442	473693	50036
13	13	1286	481	4381	1079	482314	52895	474162	50029
5	5	494	185	1738	415	477814	51127	474590	50021
0	0	0	0	0	0	475013	50022	475002	50016
4	4	395	148	1390	332	477378	50906	474777	50020
2	2	197	74	694	166	476056	50464	474731	50018
1	1	98	37	346	83	475651	50243	474959	50017
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475009	50022	474998	50016
650	5048	495393	186776	1331428	304636	2277241	444358	760147	50666
565	3314	325357	122618	887542	203588	1661901	331580	612867	50581
482	2035	200000	75295	555433	128527	1223190	245065	530060	50498
378	1115	109669	41255	311807	73383	905274	175569	485502	50394
292	602	59287	22274	172184	41906	725438	132224	469823	50308
194	294	29005	10878	86295	21802	607977	98596	466254	50210
116	154	15207	5698	46363	11794	548558	77824	469010	50132
40	44	4350	1628	14233	3548	498401	59090	472665	50056
17	17	1682	629	5773	1411	484420	53779	473730	50033
9	9	890	333	3130	747	480029	52011	474258	50025
9	9	890	333	3083	747	480120	52011	474406	50025
6	6	593	222	2086	498	478611	51348	474749	50022
2	2	197	74	694	166	476238	50464	474913	50018
0	0	0	0	0	0	475013	50022	475002	50016
1	1	98	37	346	83	475598	50243	474906	50017
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475013	50022	475002	50016
659	5462	536270	202094	1438132	328468	2423241	469432	796413	50675
598	3827	375723	141599	1020313	233687	1844827	366233	653626	50614
457	1723	169310	63751	473537	110093	1118261	223181	514090	50473
310	716	70489	26492	203202	48872	762016	141674	470231	50326
273	537	52899	19869	154158	37707	699403	125403	467250	50289
152	206	20339	7622	61504	15694	571850	86692	466898	50168
91	107	10575	3959	33076	8465	528489	71045	469340	50107
60	67	6624	2479	21203	5379	509806	63681	471361	50076
22	24	2372	888	7991	1940	487530	54998	473148	50038
11	11	1088	407	3732	913	481310	52453	474372	50027
5	5	494	185	1738	415	477906	51127	474677	50021
0	0	0	0	0	0	475013	50022	475002	50016
3	3	296	111	1042	249	476653	50685	474695	50019
1	1	98	37	346	83	475651	50243	474959	50017
1	1	98	37	346	83	475686	50243	474994	50017
1	1	98	37	346	83	475686	50243	474994	50017
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
662	5807	570236	214859	1525322	348211	2543151	489589	828423	50678
522	2776	272565	102712	747172	171804	1472128	293862	575891	50538
430	1392	136843	51504	386846	90524	1006194	199886	496525	50446
367	962	94644	35594	270794	64376	853906	165044	478282	50383
269	501	49378	18537	144262	35551	688415	122695	467181	50285
194	294	29005	10878	86154	21802	607952	98596	466365	50210
92	106	10478	3922	32775	8434	527963	71152	468832	50108
74	90	8893	3330	27906	7054	520160	67288	471043	50090
37	40	3955	1480	13128	3242	496409	58370	472622	50053
17	18	1779	666	5978	1468	484827	53836	473902	50033
4	4	395	148	1390	332	477405	50906	474814	50020
4	4	395	148	1343	332	477179	50906	474635	50020
5	5	494	185	1691	415	477929	51127	474752	50021
2	2	197	74	694	166	476223	50464	474898	50018
1	1	98	37	346	83	475598	50243	474906	50017
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
674	6196	608123	229252	1623982	370696	2682842	513730	866163	50690
557	3345	328772	123765	894751	205147	1668758	332035	614475	50573
486	2137	209911	79069	582114	134445	1256304	251535	535399	50502
282	630	62020	23310	179242	43242	730636	132180	470815	50298
254	460	45333	17020	133079	32824	672703	117898	467019	50270
174	260	25654	9620	76201	19344	592684	93378	466763	50190
105	130	12845	4810	39630	10140	538616	74652	468941	50121
55	60	5933	2220	19214	4850	506547	62462	471538	50071
37	39	3857	1443	12728	3185	496190	58313	472815	50053
15	15	1484	555	5171	1245	483511	53337	473979	50031
6	6	593	222	2086	498	478481	51348	474624	50022
3	3	296	111	1042	249	476908	50685	474945	50019
0	0	0	0	0	0	475013	50022	475002	50016
3	3	296	111	1042	249	476678	50685	474715	50019
1	1	98	37	346	83	475584	50243	474892	50017
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475013	50022	475002	50016
609	4238	415973	156806	1124620	257400	1984486	391464	685936	50625
495	2233	219341	82621	606445	140151	1294119	258483	546278	50511
459	1862	183003	68894	509102	118068	1160290	231432	520019	50475
348	863	84935	31931	244212	58239	819381	156285	475607	50364
216	381	37553	14097	110459	27333	637525	107163	465324	50232
133	180	17771	6660	54072	13718	560251	82094	468148	50149
114	144	14237	5328	43398	11172	543559	76926	467540	50130
64	72	7118	2664	22674	5768	512390	64622	471359	50080
31	33	3264	1221	10831	2687	492295	56987	472544	50047
13	13	1286	481	4475	1079	482519	52895	474253	50029
3	3	296	111	1042	249	476815	50685	474852	50019
2	2	197	74	694	166	476098	50464	474773	50018
2	2	197	74	694	166	476173	50464	474843	50018
1	1	98	37	346	83	475593	50243	474901	50017
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475009	50022	474998	50016
632	4760	467477	176120	1258772	287752	2173717	424990	734068	50648
540	2833	278169	104821	763480	175521	1495774	300063	578071	50556
451	1503	147746	55611	416389	97397	1047720	209657	502444	50467
378	1057	103987	39109	296283	70077	887317	172263	482948	50394
203	340	33535	12580	99023	24658	624895	102694	467865	50219
187	277	27331	10249	81559	20651	600526	96479	465518	50203
71	84	8302	3108	26506	6634	517392	66454	470518	50087
42	51	5038	1887	16432	3999	500945	59817	472418	50058
26	27	2670	999	9016	2215	490021	55825	473499	50042
12	12	1187	444	4127	996	482024	52674	474391	50028
4	5	493	185	1644	389	477725	50963	474859	50020
6	6	593	222	2086	498	478493	51348	474621	50022
3	3	296	111	1042	249	476868	50685	474905	50019
0	0	0	0	0	0	475013	50022	475002	50016
1	1	98	37	346	83	475647	50243	474955	50017
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
645	5121	502603	189477	1349589	308667	2301276	447699	767251	50661
575	3440	337958	127280	919876	211030	1710013	340402	625530	50591
398	1260	123876	46620	350567	82168	954734	187114	490497	50414
310	722	71095	26714	205002	49214	766442	142016	472846	50326
282	548	53985	20276	157291	38568	706690	127506	468840	50298
154	208	20536	7696	61754	15860	572711	87134	466922	50170
86	110	10864	4070	33757	8506	528988	70396	470586	50102
55	66	6521	2442	20734	5192	508298	62804	471773	50071
42	46	4548	1702	15110	3714	499907	59532	472685	50058
19	19	1880	703	6328	1577	485258	54221	473448	50035
7	7	692	259	2387	581	478807	51569	474359	50023
4	4	395	148	1390	332	477375	50906	474779	50020
1	1	98	37	346	83	475647	50243	474955	50017
0	0	0	0	0	0	475009	50022	474998	50016
1	1	98	37	346	83	475598	50243	474906	50017
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475009	50022	474998	50016
653	5557	545156	205609	1461690	333727	2453672	473863	805387	50669
518	2271	223198	84027	618815	142915	1309782	264421	542859	50534
481	1958	192454	72446	536017	124112	1197408	240512	523958	50497
363	1017	100028	37629	285346	67407	869859	167523	480780	50379
244	480	47283	17760	137766	33704	675686	117398	468216	50260
118	154	15208	5698	46555	11846	548696	78152	468373	50134
93	120	11851	4440	36798	9258	533583	72114	470155	50109
45	49	4845	1813	15926	3963	501841	60195	472956	50061
32	36	3558	1332	11743	2884	494113	57322	473131	50048
10	11	1086	407	3714	887	480882	52289	474202	50026
8	8	791	296	2688	664	479481	51790	474451	50024
1	1	98	37	346	83	475597	50243	474905	50017
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475013	50022	475002	50016
0	0	0	0	0	0	475009	50022	474998	50016
670	6007	589660	222259	1575849	359819	2614742	502301	847196	50686
543	3004	294941	111148	806613	185346	1554097	310302	592369	50559
447	1669	164034	61753	459132	106755	1094834	218463	507915	50463
300	637	62725	23569	181686	44109	737217	135531	469835	50316
233	418	41209	15466	120986	29884	653782	112060	466168	50249
178	267	26342	9879	78602	19847	595550	94433	466042	50194
112	137	13536	5069	41767	10721	542476	76199	468668	50128
55	57	5639	2109	18899	4679	506262	62291	471537	50071
20	21	2076	777	7006	1717	486266	54499	473463	50036
13	15	1482	555	5037	1193	482993	53009	474164	50029
4	4	395	148	1390	332	477241	50906	474645	50020
5	5	494	185	1738	415	477769	51127	474535	50021
2	2	197	74	694	166	476188	50464	474863	50018
0	0	0	0	0	0	475009	50022	474998	50016
0	0	0	0	0	0	475013	50022	475002	50016
